Name,Latitude,Longitude
East London,-33.0166666667,27.9
Gans Bay,-34.5833333333,19.3333333333
Gordon's Bay,-34.15,18.85
Gordon's Bay,-34.15,18.85
Hermanus,-34.4333333333,19.2166666667
Hout Bay,-34.05,18.3333333333
Kalk Bay,-34.1166666667,18.45
Knysna,-34.0333333333,23.0333333333
Koeberg,-33.6666666667,18.4166666667
Lamberts Bay,-32.0833333333,18.3
Mossel Bay,-34.1666666667,22.1333333333
Mouille Point,-33.8833333333,18.4
Port Alfred,-33.5833333333,26.8833333333
Port Elizabeth,-33.95,25.6333333333
Port Nolloth,-29.25,16.85
Cape Town,-33.9,18.4333333333
Durban,-29.8666666667,31.0333333333
Port Elizabeth,-33.8,25.6833333333
Richards Bay,-28.8,32.0833333333
Robben Island,-33.7975,18.3769444444
Saldanha Bay,-33.0166666667,17.95
Simon's Town,-34.1833333333,18.4333333333
Struis Bay near Cape Aghulas,-34.7833333333,20.05
